solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0195789370482	5N	110	22	154	22	308	0.137286827497735	0.137286827497735	4.06953139769919e-05	0	4.06953139769919e-05	0.000296337639708165	0	0.000296337639708165
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.02	5N	110	22	154	22	308	0.137259457258613	0.137259457258613	4.06955565707584e-05	0	4.06955565707584e-05	0.000296398479800219	0	0.000296398479800219
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0365296803653	5N	110	22	154	22	308	0.13618596816974	0.13618596816974	4.07049701163184e-05	0	4.07049701163184e-05	0.000298803231247738	0	0.000298803231247738
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.04	5N	110	22	154	22	308	0.135960850334395	0.135960850334395	4.07069195106509e-05	0	4.07069195106509e-05	0.000299312157394299	0	0.000299312157394299
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0423423975419	5N	110	22	154	22	308	0.135808952861368	0.135808952861368	4.07082300961961e-05	0	4.07082300961961e-05	0.000299656471493059	0	0.000299656471493059
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0552973392308	5N	110	22	154	22	308	0.13496965979727	0.13496965979727	4.07154033153254e-05	0	4.07154033153254e-05	0.000301572403267781	0	0.000301572403267781
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0593607305936	5N	110	22	154	22	308	0.134706699230891	0.134706699230891	4.07176272946322e-05	0	4.07176272946322e-05	0.000302177423835036	0	0.000302177423835036
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.06	5N	110	22	154	22	308	0.134665342156839	0.134665342156839	4.07179760634378e-05	0	4.07179760634378e-05	0.0003022727858217	0	0.0003022727858217
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0651058580356	5N	110	22	154	22	308	0.134335151072963	0.134335151072963	4.07207508495275e-05	0	4.07207508495275e-05	0.000303036179760893	0	0.000303036179760893
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.08	5N	110	22	154	22	308	0.13337331607207	0.13337331607207	4.07287362855464e-05	0	4.07287362855464e-05	0.000305280724709693	0	0.000305280724709693
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0821917808219	5N	110	22	154	22	308	0.133231951703846	0.133231951703846	4.07298978882464e-05	0	4.07298978882464e-05	0.000305613253959739	0	0.000305613253959739
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.0878693185293	5N	110	22	154	22	308	0.13286598327983	0.13286598327983	4.07328909574108e-05	0	4.07328909574108e-05	0.000306477295737775	0	0.000306477295737775
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1	5N	110	22	154	22	308	0.132085140459171	0.132085140459171	4.07392098469166e-05	0	4.07392098469166e-05	0.000308336337657471	0	0.000308336337657471
