r_package	consumer_path	dependency	resolved_path	status	rpm_owner
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libcrypto.so.3	/app/eb/software/OpenSSL/3/lib/libcrypto.so.3	resolved	file /app/eb/software/OpenSSL/3/lib/libcrypto.so.3 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libzstd.so.1	/app/eb/software/zstd/1.5.6-GCCcore-13.3.0/lib/libzstd.so.1	resolved	file /app/eb/software/zstd/1.5.6-GCCcore-13.3.0/lib/libzstd.so.1 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libz.so.1	/app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1	resolved	file /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libm.so.6	/lib64/libm.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libpthread.so.0	/lib64/libpthread.so.0	resolved	glibc-2.28-251.el8_10.25.x86_64
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libflexiblas.so.3	/app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3	resolved	file /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libgfortran.so.5	/app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libreadline.so.8	/app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8	resolved	file /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libpcre2-8.so.0	/app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0	resolved	file /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libdeflate.so.0	/app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0	resolved	file /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	liblzma.so.5	/app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5	resolved	file /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libbz2.so.1.0	/app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0	resolved	file /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 is not owned by any package
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	librt.so.1	/lib64/librt.so.1	resolved	glibc-2.28-251.el8_10.25.x86_64
curl	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/curl/libs/curl.so	libdl.so.2	/lib64/libdl.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
