component,value,pair,seed,objective
joint_restriction,FALSE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_constraint_penalty,1e+09,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_require_invivo_pred1000_ploidy_gt2,FALSE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_require_invitro_growth_nonnegative,FALSE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_require_invitro_ploidy_phenotype,FALSE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_growth_nonnegative_pass,TRUE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_n_growth_negative_pred,0,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invivo_pred1000_ploidy_pass,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invivo_pred1000_min_ploidy_fold,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invivo_pred1000_threshold_ploidy_fold,2,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invivo_pred1000_n_rows,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invivo_pred1000_status,disabled,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_ploidy_phenotype_pass,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_2N_deprived_wgd_pass,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_2N_deprived_wgd_max_fraction,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_2N_deprived_wgd_min_N,80,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_2N_deprived_wgd_min_fraction,0.01,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_2N_deprived_max_mean_N,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_4N_deprived_chr_drop_pass,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_4N_deprived_chr_drop,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_4N_deprived_min_chr_drop_required,2,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_4N_deprived_initial_mean_N,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
invitro_4N_deprived_min_mean_N,,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_constraint_failures,0,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_constraint_penalty_total,0,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_constraints_pass,TRUE,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__O2_crit,0.0799999999093672,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__mu_hp,0.0799999999999991,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__p_misseg,0.08,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__k_o_mis,0.0799998626663478,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__buffer_smax,0.00144196582027432,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__buffer_beta,0.08,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__buffer_n_exp,0.0790478893808736,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__n_O,0.0799611889055069,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__alpha_o2,0.0734202001230971,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__gamma_growth,0.0799999955023193,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__lam_max,0.0799999729076821,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__p_mis_base,0.0533330894281676,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__p_wgd,6.58348986710866e-05,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
joint_soft_coupling_penalty__gamma_mu,0.08,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,seed155,19.7913140832613
objective_joint,19.4144872936097,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_joint_unpenalized,18.4564050202281,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_soft_coupling,0.958082273381634,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_constraints,0,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_soft_coupling_enabled,TRUE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
