N	replicate	seed	O2_pct	output	parameter	group	S1	ST	output_variance
129	1	20260923	0.150	dominant_mean_ploidy	mu_hp	death	0.04193567739	0.2473002059	0.1016569632
129	1	20260923	0.150	dominant_mean_ploidy	gamma_mu	death	0.006408854478	0.07725650637	0.1016569632
129	1	20260923	0.150	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.07965026359	0.4099827696	0.1016569632
129	1	20260923	0.150	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.01228260905	0.1050030645	0.1016569632
129	1	20260923	0.150	dominant_growth_rate	lam_max	growth	0.001091053893	0.3896117825	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	p_mis_base	missegregation	0.0429232744	0.1343804191	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	p_misseg	missegregation	0.07282017002	0.158974314	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	k_o_mis	missegregation	0.009162570714	0.02694603717	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	buffer_smax	buffering	0.0005678786462	0.004040026658	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	buffer_beta	buffering	0.01758925441	0.0724329661	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	buffer_n_exp	buffering	0.001645537668	0.01522960215	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	p_wgd	genome_doubling	9.387640846e-05	0.004345135046	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	alpha_o2	growth	0.002214893177	0.01562661897	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	gamma_growth	growth	0.005445168964	0.1197394843	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	mu_hp	death	0.4004251252	0.4783429058	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	gamma_mu	death	0.007638445561	0.01507991898	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	O2_crit	shared_oxygen_stress	0.003548125348	0.007304334126	0.004933120327
129	1	20260923	0.150	dominant_growth_rate	n_O	shared_oxygen_stress	0.0002736252176	0.002499639937	0.004933120327
129	1	20260923	0.175	dominant_mean_ploidy	lam_max	growth	0.157540233	0.8019595865	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	p_mis_base	missegregation	0.01938064569	0.1115338977	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	p_misseg	missegregation	0.07162001013	0.7692468157	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	k_o_mis	missegregation	0.05168920196	0.3693176829	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	buffer_smax	buffering	0.003346491472	0.1208772374	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	buffer_beta	buffering	0.0213560263	0.3111847244	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	buffer_n_exp	buffering	0.002622248536	0.07155137777	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	p_wgd	genome_doubling	0.00357662962	0.06913162732	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	alpha_o2	growth	0.1042004193	0.539810985	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	gamma_growth	growth	0.02438963969	0.1707343954	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	mu_hp	death	0.02910748345	0.2470882392	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	gamma_mu	death	0.006940119088	0.07865559548	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.1014413666	0.5308277383	0.1030178973
129	1	20260923	0.175	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.01260161753	0.105436007	0.1030178973
129	1	20260923	0.175	dominant_growth_rate	lam_max	growth	0.001123493421	0.3908901699	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	p_mis_base	missegregation	0.0430195715	0.1341859841	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	p_misseg	missegregation	0.06445909861	0.146013877	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	k_o_mis	missegregation	0.008634854729	0.02601624175	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	buffer_smax	buffering	0.0005129676587	0.003846657581	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	buffer_beta	buffering	0.01653769529	0.07147583346	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	buffer_n_exp	buffering	0.001267415868	0.01206732006	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	p_wgd	genome_doubling	0.0001046070291	0.004500142609	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	alpha_o2	growth	0.002169529736	0.01523429534	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	gamma_growth	growth	0.01154888505	0.2354975572	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	mu_hp	death	0.4192828161	0.5200743211	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	gamma_mu	death	0.007434878709	0.01480657656	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	O2_crit	shared_oxygen_stress	0.007046200733	0.01295371369	0.005048947634
129	1	20260923	0.175	dominant_growth_rate	n_O	shared_oxygen_stress	0.00029690816	0.00254922189	0.005048947634
129	1	20260923	0.200	dominant_mean_ploidy	lam_max	growth	0.157360587	0.8017259627	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	p_mis_base	missegregation	0.0194163107	0.1134417505	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	p_misseg	missegregation	0.07247974537	0.7695239138	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	k_o_mis	missegregation	0.05199728622	0.3723643499	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	buffer_smax	buffering	0.003407005788	0.1213236557	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	buffer_beta	buffering	0.01990277592	0.3183086328	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	buffer_n_exp	buffering	0.002977938392	0.07853531394	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	p_wgd	genome_doubling	0.004088585541	0.07718179857	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	alpha_o2	growth	0.1021531423	0.5375043828	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	gamma_growth	growth	0.005239268055	0.2389390286	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	mu_hp	death	0.04655578339	0.3552454717	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	gamma_mu	death	0.007673173556	0.08024834329	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	O2_crit	shared_oxygen_stress	0.110700088	0.6034465658	0.09922859789
129	1	20260923	0.200	dominant_mean_ploidy	n_O	shared_oxygen_stress	0.01368069477	0.1056509332	0.09922859789
129	1	20260923	0.200	dominant_growth_rate	lam_max	growth	0.001209124863	0.3922211552	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	p_mis_base	missegregation	0.04307353817	0.1339314558	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	p_misseg	missegregation	0.0571167664	0.1351898001	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	k_o_mis	missegregation	0.00812829405	0.02518449774	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	buffer_smax	buffering	0.0004569443573	0.003595133313	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	buffer_beta	buffering	0.01584268819	0.07011009814	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	buffer_n_exp	buffering	0.0009680579042	0.009398614844	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	p_wgd	genome_doubling	0.0001133252634	0.004654360729	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	alpha_o2	growth	0.002121060985	0.01481197568	0.005197418275
129	1	20260923	0.200	dominant_growth_rate	gamma_growth	growth	0.009207924308	0.2361790306	0.005197418275
