seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed264,7,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2374.68084409665,2374.68084409665
seed264,7,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2996.92446663839,2996.92446663839
seed264,7,4N,91,2,2423.025,3914.144,0.3327606874476926,1,3574.252428816,3574.252428816
seed109,8,2N,25,4,40.0,647.149,1.110882140241626,1,204.093827952428,204.093827952428
seed109,8,2N,28,4,125.44,379.906,0.3933106954199328,1,270.464035437131,270.464035437131
seed109,8,2N,32,4,274.4435,459.472,0.21806776180638365,1,392.139201740327,392.139201740327
seed109,8,2N,35,4,448.0,689.7,0.17582474317563862,1,516.822152044902,516.822152044902
seed109,8,2N,39,4,499.23,958.8125,0.2532672653679139,1,742.942720870234,742.942720870234
seed109,8,2N,42,4,741.576,1379.742,0.2610114229161311,1,965.613508145508,965.613508145508
seed109,8,2N,46,4,724.271,1335.1,0.3116863536745891,1,1311.92004082776,1311.92004082776
seed109,8,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1574.9267773531,1574.9267773531
seed109,8,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1912.41331366692,1912.41331366692
seed109,8,2N,56,4,1683.136,3375.352,0.3431351669384108,1,2153.97116458511,2153.97116458511
seed109,8,4N,35,2,73.2305,113.715,0.30625893089640327,1,86.7005816016172,86.7005816016172
seed109,8,4N,39,2,117.6,207.1035,0.389823526940302,1,108.022459546714,108.022459546714
seed109,8,4N,42,2,109.8,340.9175,0.7251759760864928,1,129.524381401483,129.524381401483
seed109,8,4N,46,3,13.95,471.3705,0.9196487047263852,1,168.617246837838,168.617246837838
seed109,8,4N,49,3,50.625,848.718,1.0268446308237722,1,208.619181006634,208.619181006634
seed109,8,4N,53,3,126.15,1079.09,0.9589750011682227,1,281.886813391729,281.886813391729
seed109,8,4N,56,4,95.506,1385.208,1.1107289031818546,1,356.904612468255,356.904612468255
seed109,8,4N,60,4,214.2425,1734.104,1.037838780607292,1,493.037564568778,493.037564568778
seed109,8,4N,63,4,312.05,1898.6355,0.9017640864164814,1,628.941221310657,628.941221310657
seed109,8,4N,67,4,452.824,2810.712,0.8612775705369408,1,858.653895103786,858.653895103786
seed109,8,4N,70,4,458.397,3139.0625,0.8437778961194023,1,1055.89840280997,1055.89840280997
seed109,8,4N,74,4,779.76,4139.96,0.7920665313577271,1,1326.35027506775,1326.35027506775
seed109,8,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1527.36998339342,1527.36998339342
seed109,8,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1790.06873230131,1790.06873230131
seed109,8,4N,84,2,1802.112,2058.75,0.09400515745455452,1,1982.29106785426,1982.29106785426
seed109,8,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2231.46597652216,2231.46597652216
seed109,8,4N,91,2,2423.025,3914.144,0.3327606874476926,1,2412.68742998266,2412.68742998266
seed322,9,2N,25,4,40.0,647.149,1.110882140241626,1,230.915299523052,230.915299523052
seed322,9,2N,28,4,125.44,379.906,0.3933106954199328,1,303.974891567664,303.974891567664
seed322,9,2N,32,4,274.4435,459.472,0.21806776180638365,1,429.422345096694,429.422345096694
seed322,9,2N,35,4,448.0,689.7,0.17582474317563862,1,547.321209788731,547.321209788731
seed322,9,2N,39,4,499.23,958.8125,0.2532672653679139,1,737.865935164815,737.865935164815
seed322,9,2N,42,4,741.576,1379.742,0.2610114229161311,1,905.057273938227,905.057273938227
seed322,9,2N,46,4,724.271,1335.1,0.3116863536745891,1,1157.94744061645,1157.94744061645
seed322,9,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1368.50001098686,1368.50001098686
seed322,9,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1675.59202831568,1675.59202831568
seed322,9,2N,56,4,1683.136,3375.352,0.3431351669384108,1,1925.3473702647,1925.3473702647
seed322,9,4N,35,2,73.2305,113.715,0.30625893089640327,1,84.8891074569107,84.8891074569107
seed322,9,4N,39,2,117.6,207.1035,0.389823526940302,1,107.332349294434,107.332349294434
seed322,9,4N,42,2,109.8,340.9175,0.7251759760864928,1,129.850964452963,129.850964452963
seed322,9,4N,46,3,13.95,471.3705,0.9196487047263852,1,170.85346885589,170.85346885589
seed322,9,4N,49,3,50.625,848.718,1.0268446308237722,1,212.923575379493,212.923575379493
seed322,9,4N,53,3,126.15,1079.09,0.9589750011682227,1,289.620742157722,289.620742157722
seed322,9,4N,56,4,95.506,1385.208,1.1107289031818546,1,366.512042968823,366.512042968823
seed322,9,4N,60,4,214.2425,1734.104,1.037838780607292,1,499.483063125441,499.483063125441
seed322,9,4N,63,4,312.05,1898.6355,0.9017640864164814,1,624.00284868218,624.00284868218
seed322,9,4N,67,4,452.824,2810.712,0.8612775705369408,1,825.221315640289,825.221315640289
seed322,9,4N,70,4,458.397,3139.0625,0.8437778961194023,1,1004.69117118978,1004.69117118978
seed322,9,4N,74,4,779.76,4139.96,0.7920665313577271,1,1287.83440688186,1287.83440688186
seed322,9,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1539.56325993579,1539.56325993579
seed322,9,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1941.88007529757,1941.88007529757
seed322,9,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2306.80802361685,2306.80802361685
seed322,9,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2902.24267139711,2902.24267139711
seed322,9,4N,91,2,2423.025,3914.144,0.3327606874476926,1,3451.29166925881,3451.29166925881
seed26,10,2N,25,4,40.0,647.149,1.110882140241626,1,246.282649713861,246.282649713861
seed26,10,2N,28,4,125.44,379.906,0.3933106954199328,1,307.300786459012,307.300786459012
seed26,10,2N,32,4,274.4435,459.472,0.21806776180638365,1,409.499349140501,409.499349140501
seed26,10,2N,35,4,448.0,689.7,0.17582474317563862,1,505.731557059762,505.731557059762
seed26,10,2N,39,4,499.23,958.8125,0.2532672653679139,1,667.554233305568,667.554233305568
seed26,10,2N,42,4,741.576,1379.742,0.2610114229161311,1,820.498231122094,820.498231122094
seed26,10,2N,46,4,724.271,1335.1,0.3116863536745891,1,1078.62552078611,1078.62552078611
seed26,10,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1323.43208221205,1323.43208221205
