pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_buffer_beta,-0.575886287278859,-0.575886287278859,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_buffer_n_exp,-0.0657285004210214,-0.0733357385627183,0.0076072381416969065
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,n_O,2.55517829746501,2.55517829746501,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_lam_max,-0.37154577691773,-0.37154577691773,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_p_mis_base,-4.64212308426928,-4.64212308426928,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,log10_p_wgd,-3.30859788526459,-3.30859788526459,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,gamma_mu,1.85826385827691,1.85826385827691,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_O2_crit,-0.707839637125871,-0.707839637125871,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_alpha_o2,0.804803819939848,0.804803819939848,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__gamma_growth,0.74248148487991,0.74248148487991,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_p_misseg,1.67557286941202,1.67557286941202,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_k_o_mis,1.33139593453867,1.33139593453867,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_buffer_beta,-1.55518405233534,-1.55518405233534,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_buffer_n_exp,-1.13016190617906,-1.13016190617906,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__n_O,1.37320692760003,1.37320692760003,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_lam_max,-1.0028032418014,-1.0028032418014,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_p_mis_base,0.852653302570762,1.01677126140897,0.1641179588382079
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__log10_p_wgd,0.342609431840466,0.0163922071249687,0.3262172247154973
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,delta__gamma_mu,1.31652771655383,1.31652771655383,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_O2_crit,-0.153560015107474,-0.153560015107474,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_alpha_o2,0.101371914305943,0.101371914305943,0.0
