pair,rank,seed,context,N,s_per_copy
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,vivo,44,0.7700259763031568
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,vivo,88,0.9083688662688993
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,vitro,88,0.8366802890104067
