fit,seed,rank,parameter,value,lower,upper,status
invivo,seed26,10,buffer_n_exp,7.09954716536234,0.1,10.0,interior
invivo,seed26,10,p_wgd,1.70127995916468e-05,1e-05,0.001,interior
invivo,seed26,10,o2_S0,5.0,2.0,5.0,upper
invivo,seed26,10,kappa_O,0.25277667277562,0.1,1.2,interior
invivo,seed26,10,eta_o2,1.16115211513508,1.0,2.0,interior
invivo,seed26,10,rho_2N,74031.4744550534,50000.0,500000.0,interior
invivo,seed26,10,alpha_o2,0.5,0.5,4.0,lower
invivo,seed26,10,gamma_growth,4.3059169143185,1.5,4.5,interior
invivo,seed26,10,mu_hp,0.005,0.005,0.3,lower
invivo,seed26,10,gamma_mu,2.9324063490628,1.2,3.5,interior
invivo,seed26,10,O2_crit,0.733875584645457,0.1,2.5,interior
invivo,seed26,10,n_O,1.82917195619735,0.5,5.0,interior
invivo,seed26,10,k_clear,0.0073342259242235,0.005,0.3,interior
invivo,seed26,10,sigma_burden,0.15,0.1,0.15,upper
invivo,seed26,10,p_mis_base,0.0027766351544204,1e-06,0.1,interior
invitro,seed10,1,lam_max,1.3485151936293,0.005,1.5,interior
invitro,seed10,1,p_misseg,0.0105535150770604,0.005,0.4,interior
invitro,seed10,1,k_o_mis,0.0001128986825222,1e-05,0.02,interior
invitro,seed10,1,p_wgd,0.0003312053922759,1e-05,0.001,interior
invitro,seed10,1,alpha_o2,0.5,0.5,4.0,lower
invitro,seed10,1,gamma_growth,1.5,1.5,4.5,lower
invitro,seed10,1,mu_hp,0.005,0.005,0.3,lower
invitro,seed10,1,gamma_mu,1.2,1.2,3.5,lower
invitro,seed10,1,O2_crit,1.58620678578554,0.0001,2.5,interior
invitro,seed10,1,n_O,1.86857483366499,0.0001,5.0,interior
invitro,seed10,1,sigma_growth,0.203840002499712,0.001,1.0,interior
invitro,seed10,1,sigma_kary,0.0233545733387599,0.01,10.0,interior
invitro,seed10,1,init_mean_2N,46.3459118478185,45.725,49.725,interior
invitro,seed10,1,init_sd_2N,2.43406581031514,0.5,3.0,interior
invitro,seed10,1,init_mean_4N,83.8021620039257,83.666667,91.666667,interior
invitro,seed10,1,init_sd_4N,3.61719096780439,1.5,6.0,interior
invitro,seed10,1,p_mis_base,8.54181703118544e-06,1e-06,0.005,interior
invitro,seed132,2,lam_max,1.34496693050164,0.005,1.5,interior
invitro,seed132,2,p_misseg,0.0104318498107959,0.005,0.4,interior
invitro,seed132,2,k_o_mis,0.0001211800334406,1e-05,0.02,interior
invitro,seed132,2,p_wgd,0.000377794934551,1e-05,0.001,interior
invitro,seed132,2,alpha_o2,0.5,0.5,4.0,lower
invitro,seed132,2,gamma_growth,1.5,1.5,4.5,lower
invitro,seed132,2,mu_hp,0.005,0.005,0.3,lower
invitro,seed132,2,gamma_mu,1.2,1.2,3.5,lower
invitro,seed132,2,O2_crit,1.6003510863848,0.0001,2.5,interior
invitro,seed132,2,n_O,1.85652272338118,0.0001,5.0,interior
invitro,seed132,2,sigma_growth,0.20343841604087,0.001,1.0,interior
invitro,seed132,2,sigma_kary,0.103728055113617,0.01,10.0,interior
invitro,seed132,2,init_mean_2N,46.4057410307934,45.725,49.725,interior
invitro,seed132,2,init_sd_2N,2.43166459958213,0.5,3.0,interior
invitro,seed132,2,init_mean_4N,83.6670738768734,83.666667,91.666667,interior
invitro,seed132,2,init_sd_4N,3.66761832144753,1.5,6.0,interior
invitro,seed132,2,p_mis_base,6.24279244492441e-05,1e-06,0.005,interior
invitro,seed81,3,lam_max,1.33868438480722,0.005,1.5,interior
invitro,seed81,3,p_misseg,0.0104603493987707,0.005,0.4,interior
invitro,seed81,3,k_o_mis,0.0001416531038779,1e-05,0.02,interior
invitro,seed81,3,p_wgd,0.0003438270176808,1e-05,0.001,interior
invitro,seed81,3,alpha_o2,0.5,0.5,4.0,lower
invitro,seed81,3,gamma_growth,1.5,1.5,4.5,lower
invitro,seed81,3,mu_hp,0.005,0.005,0.3,lower
invitro,seed81,3,gamma_mu,1.2,1.2,3.5,lower
invitro,seed81,3,O2_crit,1.41013741044744,0.0001,2.5,interior
invitro,seed81,3,n_O,1.72630613408288,0.0001,5.0,interior
invitro,seed81,3,sigma_growth,0.203125235915548,0.001,1.0,interior
invitro,seed81,3,sigma_kary,0.016949317002769,0.01,10.0,interior
invitro,seed81,3,init_mean_2N,46.3586385455682,45.725,49.725,interior
invitro,seed81,3,init_sd_2N,2.43742917345152,0.5,3.0,interior
invitro,seed81,3,init_mean_4N,83.7030256596446,83.666667,91.666667,interior
invitro,seed81,3,init_sd_4N,3.64259159251935,1.5,6.0,interior
invitro,seed81,3,p_mis_base,0.0001145104051822,1e-06,0.005,interior
invitro,seed294,4,lam_max,1.37488651585037,0.005,1.5,interior
invitro,seed294,4,p_misseg,0.0103878001943909,0.005,0.4,interior
invitro,seed294,4,k_o_mis,9.21977755637312e-05,1e-05,0.02,interior
invitro,seed294,4,p_wgd,0.0003229657122314,1e-05,0.001,interior
invitro,seed294,4,alpha_o2,0.5,0.5,4.0,lower
invitro,seed294,4,gamma_growth,1.5,1.5,4.5,lower
invitro,seed294,4,mu_hp,0.005,0.005,0.3,lower
invitro,seed294,4,gamma_mu,1.2,1.2,3.5,lower
invitro,seed294,4,O2_crit,1.86817701641695,0.0001,2.5,interior
invitro,seed294,4,n_O,2.06151631462213,0.0001,5.0,interior
invitro,seed294,4,sigma_growth,0.203291055730731,0.001,1.0,interior
invitro,seed294,4,sigma_kary,0.0153464274204814,0.01,10.0,interior
invitro,seed294,4,init_mean_2N,46.1750510402883,45.725,49.725,interior
invitro,seed294,4,init_sd_2N,2.40181846999612,0.5,3.0,interior
invitro,seed294,4,init_mean_4N,84.2569959199147,83.666667,91.666667,interior
invitro,seed294,4,init_sd_4N,2.78132345487571,1.5,6.0,interior
invitro,seed294,4,p_mis_base,0.0003659752452727,1e-06,0.005,interior
invitro,seed337,5,lam_max,1.36786873297711,0.005,1.5,interior
invitro,seed337,5,p_misseg,0.0108213401614938,0.005,0.4,interior
invitro,seed337,5,k_o_mis,0.0002828962537545,1e-05,0.02,interior
invitro,seed337,5,p_wgd,0.0002424492726155,1e-05,0.001,interior
invitro,seed337,5,alpha_o2,0.5,0.5,4.0,lower
invitro,seed337,5,gamma_growth,1.5,1.5,4.5,lower
invitro,seed337,5,mu_hp,0.005,0.005,0.3,lower
invitro,seed337,5,gamma_mu,1.2,1.2,3.5,lower
invitro,seed337,5,O2_crit,1.50328093674709,0.0001,2.5,interior
invitro,seed337,5,n_O,1.42521351130516,0.0001,5.0,interior
invitro,seed337,5,sigma_growth,0.198784124951881,0.001,1.0,interior
invitro,seed337,5,sigma_kary,0.130862971697503,0.01,10.0,interior
invitro,seed337,5,init_mean_2N,46.1262126681352,45.725,49.725,interior
invitro,seed337,5,init_sd_2N,2.27882829087576,0.5,3.0,interior
invitro,seed337,5,init_mean_4N,84.172309268294,83.666667,91.666667,interior
invitro,seed337,5,init_sd_4N,3.13820304608687,1.5,6.0,interior
invitro,seed337,5,p_mis_base,0.0002441359630135,1e-06,0.005,interior
invitro,seed106,6,lam_max,1.30770441418702,0.005,1.5,interior
invitro,seed106,6,p_misseg,0.0104333846130357,0.005,0.4,interior
invitro,seed106,6,k_o_mis,0.0001786659200317,1e-05,0.02,interior
invitro,seed106,6,p_wgd,0.0002833330382244,1e-05,0.001,interior
